OEM_KODU,MARKA,KATEGORI,PARCA_ADI,UYUMLU_MODELLER,MUADIL_REFERANSLAR,DEGISIM_ARALIGI,TEKNIK_OZELLIKLER
1R-1808,"Caterpillar","Yağlama & Filtre","CAT C12 / C15 / C18 / C32 / 3406 / 3412 Ağır Hizmet Yağ Filtresi","Caterpillar C12, C15, C18, C32, 3406E, 3412E Marin Ana Makineler","Mann W 11 102/34, Donaldson P551808, Baldwin B7299, Fleetguard LF9009 / LF667","250-400 Saat","Ağır Hizmet Yüksek Basınç & Debili Marin Yağ Elemanı"
1R-0750,"Caterpillar","Yakıt Filtrasyonu","CAT C7 / C9 / C12 / C15 / C18 Hassas İkincil Yakıt Filtresi","Caterpillar 3126B, C7, C9, C12, C15, C18 Marin Motorlar","Mann WK 950/16, Donaldson P551313, Baldwin BF7633, Fleetguard FF5319","250 Saat","2 Mikron Ultra Yüksek Verimli Common Rail Yakıt Filtresi"
1R-0770,"Caterpillar","Yakıt Filtrasyonu","CAT C18 / C32 / 3508 / 3512 / 3516 Ağır Hizmet Yakıt Filtresi","Caterpillar C18, C32, 3508B, 3512C, 3516C Mega Yat Motorları","Mann WK 11 002, Donaldson P550770, Baldwin BF1383-SPO, Fleetguard FF5624","250-400 Saat","4 Mikron Yüksek Debi İkincil Dizel Kartuşu"
1R-0739,"Caterpillar","Yağlama & Filtre","CAT 3306 / 3406 / 3408 / 3412 Klasik Seri Motor Yağ Filtresi","Caterpillar 3306, 3406B, 3408B, 3412C Marin Ana Makineler","Mann W 11 102/34, Donaldson P554004, Baldwin B76, Fleetguard LF691A","250 Saat / Sezon Başı","Ağır Hizmet Metal Gövde Spin-on Eleman (1-1/8-16 Diş)"
1R-0751,"Caterpillar","Yakıt Filtrasyonu","CAT C9 / C12 / C15 / C18 Gelişmiş Yüksek Verimli Yakıt Filtresi","Caterpillar C9 ACERT, C12 ACERT, C15, C18 Marin Motorlar","Mann WK 950/16, Donaldson P551315, Baldwin BF7634, Fleetguard FF5320","250-400 Saat","2 Mikron Ultra Yüksek Verimli Spin-on Eleman"
1W-8845,"Caterpillar","İmpeller & Soğutma","CAT 3116 / 3126 / C7 / C9 Ham Su Devridaim İmpelleri","Caterpillar 3116, 3126, C7, C9 Jabsco/Sherwood Pompalar","Jabsco 17937-0001, Johnson 09-1028B, Sherwood 17000K, CEF 500130","250-300 Saat / Sezonluk","10 Kanatlı Ağır Hizmet Neopren İmpeller, Çap: 65mm"
7E-7308,"Caterpillar","İmpeller & Soğutma","CAT C12 / C18 / 3406 / 3412 Ham Su Pompası İmpeller Kiti","Caterpillar C12, C15, C18, 3406, 3412 Marin Deniz Suyu Pompası","Jabsco 17954-0001, Johnson 09-819B, Sherwood 27000K, CEF 500160","300 Saat / Sezon Başı","12 Kanatlı Yüksek Debi Neopren İmpeller, Çap: 95mm, Spline Mil"
6I-2505,"Caterpillar","Hava Emiş","CAT 3126 / C7 / C9 Silindirik Marin Radyal Hava Filtresi","Caterpillar 3126, C7, C9 Marin Motorlar","Mann C 24 650/1, Donaldson P532505, Baldwin PA2897, Fleetguard AF25125","500 Saat / Sezonluk Kontrol","Radyal Contalı Yüksek Kapasite Ağır Hizmet Hava Elemanı"
6I-2506,"Caterpillar","Hava Emiş","CAT 3126 / C7 / C9 İç Emniyet Hava Filtresi Kartuşu","Caterpillar 3126, C7, C9 Emniyet Elemanı","Mann CF 1300, Donaldson P532506, Baldwin PA2898, Fleetguard AF25126","1000 Saat / 2 Yılda 1","İkincil Emniyet Korumalı Radyal Filtre"
4P-0710,"Caterpillar","Hava Emiş","CAT 3406 / C15 / C18 Kaset Tipi Marin Hava Filtresi","Caterpillar 3406E, C15, C18 Marin Motorlar","Mann C 30 1500, Donaldson P533882, Baldwin PA3882, Fleetguard AF25414","500 Saat / Sezonluk","Radyal Contalı Kaset Filtresi, Yağ Buharı Dayanımlı"
133-5673,"Caterpillar","Yakıt Filtrasyonu","CAT Su Ayırıcı Ön Yakıt Filtresi Kartuşu (Sensör Yuvalı)","Caterpillar C7, C9, C12, C15, C18 Marin Motorlar","Mann WK 1080/7 x, Donaldson P551421, Baldwin BF7768, Fleetguard FS19624","250 Saat","10 Mikron Su Ayırıcı Eleman, Alttan Su Tahliye Valfli"
6L-2288,"Caterpillar","Tutya & Korozyon","CAT Isı Değiştirici & Aftercooler Çinko Tutya Anot","Caterpillar 3116, 3126, C7, C9, C12, C18, 3406, 3412","Tecnoseal 00801, Martyr CM6L2288, Sierra 18-6088","100-150 Saat / %50 Eridiğinde Değişim","1/2 NPT Pirinç Tapalı Motor Bloğu Çinko Anot Çubuğu"
9M-2341,"Caterpillar","Yağlama & Filtre","CAT 3208 V8 Marin Motor Yağ Filtresi","Caterpillar 3208 NA, 3208 Turbo (210 - 435 HP)","Mann W 11 102/4, Donaldson P554004, Baldwin B76, Fleetguard LF691A","150-200 Saat / Sezon Başı","Ağır Hizmet V8 Dizel Spin-on Yağ Filtresi"
51.05504-0104,"MAN Marine","Filtreler","MAN By-Pass Santrifüj Rotor Yağ Filtresi Kartuşu","MAN D2840, D2842, D2848, D2868, D2862 V8 ve V12 Marin Motorlar","Mann CS 0104, Fleetguard CS41001, Baldwin CS5020","400 Saat / Her İki Yağ Değişiminde Bir","Yağdaki İnce Kurum ve Karbon Çamurunu Tutan Santrifüj Rotor Kartuşu"
51.05504-0122,"MAN Marine","Filtreler","MAN D2676 / D2862 Yeni Nesil Ekolojik Yağ Filtre Elemanı","MAN D2676 LE421/431 (i6 Serisi), D2862 LE426/436/446/456 (V12 Serisi)","Mann HU 12 008 z, Hengst E420H D225","200-400 Saat / Sezonluk","Yüksek Basınçlı Sentetik Elyaf Filtrasyon Elemanı"
51.12503-0052,"MAN Marine","Filtreler","MAN Common Rail Birincil Yakıt Ön Filtresi (Su Ayırıcılı Eleman)","MAN i6, V8, V12 Common Rail Marin Motorlar","Mann WK 10 002 z, Donaldson P550529, Baldwin BF7814, Separ 01030","200 Saat / Sezon Başı","30 Mikron Su Ayırıcı ve Kaba Partikül Tutucu Kartuş"
51.12503-0061,"MAN Marine","Yakıt Filtrasyonu","MAN Common Rail Ön Yakıt Ayırıcı Kartuşu (Kombi Filtre)","MAN D0836, D2868 V8, D2862 V12 (800 - 2000 HP)","Mann PU 999/1 x, Hengst E70K D108, Baldwin PF7935, Fleetguard FS19946","250 Saat","Koalesans Su Ayırıcı Eko Kartuş"
51.08301-0016,"MAN Marine","Filtreler","MAN Turbo Silindirik Marin Hava Filtresi Kartuşu (C 30 1537)","MAN i6-730/800, V8-1000/1200, V12-1400/1550/1650/1800","Mann C 30 1537, Donaldson P785522, Baldwin RS4638, Fleetguard AF26103","400 Saat / Sezonluk Kontrol ve Temizlik","Tuzlu Deniz Nemi Dayanımlı Ağır Hizmet Silindirik Hava Filtresi"
51.06630-0130,"MAN Marine","İmpeller & Soğutma","MAN D2842 / V8 / V12 Ham Su Pompası İmpeller Kiti","MAN D2840, D2842, V8-900..1200, V12-1360..2000 (Gilkes/Jabsco Pompa)","Jabsco 17954-0001, Johnson 09-819B, Gilkes 44139-001, CEF 500160","300 Saat / Sezon Başı","12 Bıçaklı Ağır Hizmet Neopren, Çap: 95mm, Genişlik: 63mm, Spline Şaft"
51.05501-7180,"MAN Marine","Yağlama & Filtre","MAN D2866 / D2876 / D2848 / D2840 Klasik Seri Yağ Filtresi","MAN D2866 LXE, D2876 LE401, D2848 LXE, D2840 LXE","Mann W 11 102/4, Hengst H20W01, Mahle OC 121, Baldwin B7030","200-250 Saat","Spin-on Metal Filtre (1-1/8-16 Diş)"
51.08401-0168,"MAN Marine","Kayış & Kasnak","MAN V8-900 / V12-1360 / V12-1550 Deniz Suyu Pompası Kayışı","MAN V8-900, V12-1200, V12-1360, V12-1400, V12-1550","Optibelt 8PK1420, Gates 8PK1420, Continental 8PK1420","400 Saat / 2 Yılda 1","8 Kanallı EPDM Marin Pompa Kayışı"
0020922801,"MTU Marine","Yakıt Filtrasyonu","MTU Series 2000 / 4000 Common Rail İkincil Yakıt Filtresi","MTU 8V/10V/12V/16V 2000 M90..M96, Series 4000 M70..M93","Mann WK 1060/1, Hengst H200WK01, Donaldson P550388, Baldwin BF7948","250-400 Saat","Yüksek Basınç Dayanımlı Spin-on Yakıt Filtresi"
0031845301,"MTU Marine","Yağlama & Filtre","MTU Series 2000 M92/M93/M94/M96 Ana Yağ Filtresi Elemanı","MTU 10V2000, 12V2000, 16V2000 M93, M94, M96 (1200 - 2600 HP)","Mann HU 12 140 x, Hengst E160H D28, Mahle OX 163 D, Baldwin P7230","250-300 Saat","Sentetik Eko Kartuş Yağ Elemanı, O-Ring Dahil"
0030946004,"MTU Marine","Hava Emiş","MTU Series 2000 Silindirik Ağır Hizmet Hava Filtresi","MTU 12V2000 M90..M94, 16V2000 M90..M94","Mann C 33 1840, Donaldson P781039, Baldwin CA4706, Fleetguard AF25708","500 Saat / Sezon Başı","Dairesel Ağır Hizmet Marin Hava Filtresi Elemanı"
5240920001,"MTU Marine","Yakıt Filtrasyonu","MTU Series 2000 Ön Yakıt / Su Separatör Kartuşu","MTU Series 2000 Tüm Marin Tipler","Racor 2020PM-OR, Mann WK 1168, Baldwin PF7890-30, Fleetguard FS20203","250 Saat","30 Mikron Türbin Tipi Su Ayırıcı Eleman"
5410900151,"MTU Marine","Yakıt Filtrasyonu","MTU Series 2000 M90..M96 İkincil Yakıt Filtresi Kartuşu","MTU 8V2000, 10V2000, 12V2000, 16V2000","Mann PU 1059 x, Hengst E100KP D180, Mahle KX 208 D, Baldwin PF7934","250 Saat","Eko Kartuş Yakıt Elemanı, Contalarıyla Birlikte"
5411800009,"MTU Marine","Yağlama & Filtre","MTU Series 2000 Santrifüj Rotor Yağ Filtresi","MTU Series 2000 8V/10V/12V/16V","Mann ZR 904 x, Hengst E162H, Baldwin CS41005","500 Saat / 2 Sezonda 1","Santrifüj Kurum Ayrıştırma Rotoru"
FS1000,"Cummins Marine","Yakıt Filtrasyonu","Cummins Su Ayırıcı Ön Yakıt Filtresi Kartuşu (Sensör Yuvalı)","Cummins 6BTA, 6CTA, QSB, QSC, QSM11 Marin Motorlar","Fleetguard FS1000, Mann WK 1060/5 x, Donaldson P551000, Baldwin BF1259","250 Saat","10 Mikron Su Ayırıcı Kartuş, Kendinden Tahliyeli"
122-0833,"Cummins / Onan","Filtreler","Cummins Onan 4-9kW MDKBL / MDKBM Motor Yağ Filtresi","Cummins Onan MDKBL, MDKBM, MDKAL, MDKAA Marin Jeneratörler","Fleetguard LF3644, Mann W 68/3, Donaldson P502015, Wix 51394","100-150 Saat / Sezon Başı","M20x1.5 Diş, Kompakt Spin-on Jeneratör Yağ Filtresi"
149-2341-01,"Cummins / Onan","Filtreler","Cummins Onan MDK Serisi Vidalı Spin-on Yakıt Filtresi Elemanı","Cummins Onan MDKBL, MDKBM, MDKBN, MDKBW Tüm MDK Serileri","Fleetguard FF5507, Mann WK 812, Baldwin BF7856, Donaldson P550588","150-200 Saat / Yılda 1 Kez","Vidalı Spin-on Yakıt Filtresi, Su Ayırma Özellikli"
132-0316,"Cummins / Onan","İmpeller & Soğutma","Cummins Onan MDDCA / MDDCB Büyük Boy Ham Su İmpeller Kiti","Cummins Onan 22.5kW - 40kW Ağır Hizmet Marin Jeneratörler","Jabsco 17937-0001, Johnson 09-819B, Sierra 18-3275","200 Saat / Sezon Başı","10 Bıçaklı Neopren, Spline Mil, Çap: 95mm, Genişlik: 63mm"
140-2897,"Onan Generator","Hava Emiş","Cummins Onan e-QD Jeneratör Susturucu Hava Filtresi","Onan MDKBH, MDKBL, MDKBM, MDKBN, MDKBP (7kW - 17.5kW)","Fleetguard AF26168, Mann C 1140, Baldwin PA4600","200-250 Saat / Sezonluk","Köpük / Elyaf Ses Emici Jeneratör Hava Elemanı"
185-5835,"Onan Generator","Ateşleme & Isıtma","Cummins Onan Dizel Jeneratör Kızdırma Bujisi","Onan MDK Serisi 3 ve 4 Silindir Kubota Tabanlı Motorlar","NGK Y-103V, Denso DG-211, Bosch 0250202023","500 Saat / İhtiyaç Halinde","11V Hızlı Isıtmalı Marin Kızdırma Bujisi"
GM32809,"Kohler Generator","Kayış & Kasnak","Kohler 6.5EFOZD / 9EFOZD Devridaim Su Pompası Kayışı","Kohler 6kW - 11kW Dizel Marin Jeneratörler","Gates 6260MC, Dayco 10A0750C, Continental AVX10x750","250 Saat / 2 Sezonda Bir","V-Kayışı Isıya Dayanıklı Kauçuk Kord"
ED0021752850-S,"Kohler","Filtreler","Kohler 5EFKD / 7EFKD / 9EFKO / 11EFKO Yağ Filtresi Kartuşu","Kohler 5kW - 11kW Yeni Nesil Dizel Marin Jeneratörler (Lombardini / Kohler KDI)","Mann W 68/1, Baldwin B1400, Donaldson P502015, Wix 51394","100-150 Saat / Sezon Başı","M20x1.5 Diş, Kompakt Orijinal Kohler Yağ Filtresi"
0001428,"Fischer Panda","İmpeller & Soğutma","Panda 4000s / 4500s / 5000i Neo Ham Su İmpeller Kiti","Fischer Panda Panda 4000s, 4500s, 5000i.Neo (Farymann motorlu)","Johnson 09-801B, Jabsco 4528-0001, CEF 500106","100-150 Saat / Sezonluk","6 Bıçaklı Neopren, Çap: 40mm, Şaft: Pin/Yivli"
0002196,"Fischer Panda","İmpeller & Soğutma","Panda 8000i / 10000i / 15000i / 25i Ham Su İmpeller Kiti","Fischer Panda 8000i, 10000i, 12000 x, 15000i, 25i (Kubota motorlu)","Johnson 09-810B-1, Jabsco 18653-0001, Sherwood 10077K, Sierra 18-3081","150-200 Saat / Sezon Başı","6 Kanatlı Neopren İmpeller, D-Shaft"
0003055,"Fischer Panda","Yağlama & Filtre","Panda 8000i / 10000i / 15000i Kubota Motor Yağ Filtresi","Fischer Panda Panda 6000, 8000, 10000i, 12000, 15000i","Mann W 67/1, Baldwin B1400, Donaldson P502015, Fleetguard LF3925","100-150 Saat","Spin-on Kompakt Yağ Filtresi (M20x1.5)"
0004312,"Fischer Panda","Yakıt Filtrasyonu","Fischer Panda Kubota Motor Yakıt Filtresi Kartuşu","Fischer Panda Tüm Kubota Tabanlı Marin Jeneratörler","Mann P 707, Baldwin PF7680, Donaldson P502138, Fleetguard FF5245","150 Saat / Sezonluk","O-Ringli Kağıt Eleman Kartuş Filtre"
24-02001,"Northern Lights","Yağlama & Filtre","Northern Lights M673 / M773 / M843 / M844 Yağ Filtresi","Northern Lights M673L2/L3, M773LW2/LW3, M843NW2/NW3, M844LK2/LW2 (5kW - 20kW)","Mann W 68/1, Baldwin B1434, Donaldson P502015, Fleetguard LF3644","150-200 Saat / Sezonluk","Spin-on Yağ Filtresi (M20x1.5 Diş)"
24-03001,"Northern Lights","Yakıt Filtrasyonu","Northern Lights M673 / M773 / M843 / M844 Yakıt Filtresi","Northern Lights M673, M773, M843, M844 Serisi","Mann WK 712/2, Baldwin BF940, Donaldson P550012, Fleetguard FF5135","200 Saat / Sezon Başı","Spin-on Metal Dizel Yakıt Elemanı"
25-12057,"Northern Lights","İmpeller & Soğutma","Northern Lights M673 / M773 / M843 Ham Su İmpeller Kiti","Northern Lights M673L3, M773LW3, M843NW3 (Jabsco Pompalı)","Jabsco 18653-0001, Johnson 09-810B-1, Sherwood 10077K, Sierra 18-3081","150-200 Saat / Sezon Başı","10 Kanatlı Neopren, D-Drive Şaft, O-Ring Dahil"
25-12001,"Northern Lights","İmpeller & Soğutma","Northern Lights M844L / M864K / M944 Ham Su İmpeller Kiti","Northern Lights M844LW3, M864K, M864W3, M944W (20kW - 40kW)","Johnson 09-1027B-1, Jabsco 1210-0001, Sierra 18-3071, CEF 500107","200 Saat / Sezonluk","12 Bıçaklı Neopren, Spline Mil, 57mm Çap, 31.5mm Genişlik"
048500,"Westerbeke","İmpeller & Soğutma","Westerbeke 4.0kW - 12.5kW Marin Jeneratör İmpeller Kiti","Westerbeke 4.0, 5.0, 6.0, 7.6, 8.0, 10.0, 12.5 BTG/BTD","Johnson 09-810B-1, Jabsco 18653-0001, Sierra 18-3081, CEF 500100","150-200 Saat / Sezonluk","6 Kanatlı Neopren, D-Mil Kovan, Contalı"
036918,"Westerbeke","Yağlama & Filtre","Westerbeke Dizel Jeneratör Yağ Filtresi Kartuşu","Westerbeke 5.0, 7.6, 8.0, 10.0, 12.5 kW Dizel Modeller","Mann W 68/1, Baldwin B1434, Donaldson P502015, Fleetguard LF3644","100-150 Saat","Spin-on Kompakt Yağ Filtresi (M20x1.5)"
69J-13440-03,"Yamaha Marine","Yağlama & Filtre","Yamaha 150HP - 300HP V6 Dıştan Takma Motor Yağ Filtresi","Yamaha F150, F200, F225, F250, F300, LF250, LF300 (4.2L V6 ve 3.3L V6)","Sierra 18-7906-1, Mann W 67/1, Baldwin B1400, Fram PH6017A, Mallory 9-57804","100 Saat veya 1 Yıl","Yüksek Basınçlı Dıştan Takma 4-Zamanlı Spin-on Yağ Filtresi"
6D8-WS24A-00,"Yamaha Marine","Yakıt Filtrasyonu","Yamaha F75 - F115 Motor İçi Birincil Yakıt Filtresi","Yamaha F75, F80, F90, F100, F115 4-Zamanlı Motorlar","Sierra 18-79799, Mallory 9-37970, Hifi SN 25091","100 Saat veya Sezonluk","Kırmızı Şamandıralı Su ve Partikül Ayırıcı Kartuş Eleman"
6P3-WS24A-01,"Yamaha Marine","Yakıt Filtrasyonu","Yamaha F150 - F350 V6/V8 Motor İçi Yakıt Filtresi Kartuşu","Yamaha F150, F200, F225, F250, F300, F350 4.2L & 5.3L V8","Sierra 18-79809, Mallory 9-37971, Racor PFF5510","100 Saat / Yılda 1","Su Algılama Sensörü Uyumlu, Kırmızı Su Ayırıcı Halkalı"
6E5-44352-01,"Yamaha Marine","İmpeller & Soğutma","Yamaha 115HP - 300HP V4/V6 Su Pompası İmpelleri","Yamaha 115, 130, 150, 175, 200, 225, 250, 300 HP 2-Zamanlı ve 4-Zamanlı","Sierra 18-3071, CEF 500325, Mallory 9-45604, Solas YA-P115","100 Saat / Sezonluk","6 Kanatlı Neopren, Paslanmaz Kovanlı Mil Geçme"
6AW-44352-00,"Yamaha Marine","İmpeller & Soğutma","Yamaha F300 (4.2L) / F350 (5.3L V8) Ağır Hizmet Su Pompası İmpelleri","Yamaha F300B, F300C, F350A, F350B, XF425 V8","Sierra 18-3069, CEF 500388, Mallory 9-45612","100-150 Saat veya Sezon Başı","6 Kanatlı Güçlendirilmiş Neopren İmpeller, Yüksek Basınç"
68V-13440-00,"Yamaha Marine","Yağlama & Filtre","Yamaha F50 - F115 4-Zamanlı Dıştan Takma Yağ Filtresi","Yamaha F50, T50, F60, T60, F70, F75, F90, F115","Sierra 18-7911-1, Mann W 67/1, Baldwin B1400, Fram PH6017A","100 Saat / Sezonluk","Spin-on Yağ Filtresi (M20x1.5 Diş)"
69J-11325-00,"Yamaha Marine","Tutya & Korozyon","Yamaha F150 - F300 Motor Bloğu Dahili Silindir Kapağı Anodu","Yamaha F150, F200, F225, F250, F300 V6 Motorlar","Tecnoseal 01104, Martyr CM69J11325, Sierra 18-6090","100 Saat / %50 Aşınmada Değişim","Silindir Kapağı ve Egzoz Bloğu Çinko Anot Parçası"
35-866340Q03,"Mercruiser","Yağlama & Filtre","Mercruiser 4.3L / 5.0L / 5.7L / 6.2L / 8.2L V6 & V8 Yağ Filtresi","Mercruiser 4.3L MPI, 5.0L MPI, 350 MAG, 377 MAG, 6.2L MPI, 8.2L MAG","Sierra 18-7824, Mann W 920, Baldwin B31, Donaldson P550086, Fram PH30","100 Saat veya Sezon Başı","Ağır Hizmet Spin-on Yağ Filtresi (13/16-16 Diş, Çekvalfli)"
35-8M0065104,"Mercury Marine","Yağlama & Filtre","Mercury Verado 150HP - 400HP 4/6 Silindir Yağ Filtresi","Mercury Verado 150, 175, 200, 225, 250, 275, 300, 350, 400R","Sierra 18-7913, Mann W 712/83, Baldwin B7314, Mallory 9-57810","100 Saat veya 1 Yıl","Kompresörlü Verado Yüksek Isı & Basınç Yağ Kartuşu"
35-802893Q01,"Mercruiser","Yakıt Filtrasyonu","Mercruiser / Mercury Su Ayırıcı Vidalı Benzin Filtresi (25 Mikron)","Mercruiser Tüm İçten Takma ve Kuyruklu Benzinli Motorlar","Sierra 18-7845, Racor B32013, Donaldson P551768, Baldwin BF791","100 Saat / Sezonluk","Vidalı Spin-on Su Ayırıcı Benzin Filtresi (11/16-16 Diş)"
47-43026Q06,"Mercruiser","İmpeller & Soğutma","Mercruiser Alpha One Gen II Ham Su Devridaim İmpeller Kiti","Mercruiser Alpha One Gen 2 Kuyruk Sistemleri (1991+)","Sierra 18-3057, CEF 500159, Mallory 9-45013, GLM 89620","100-150 Saat veya Sezon Başı","6 Kanatlı Neopren İmpeller, Alt ve Üst Conta Plakaları Dahil"
47-8M0100526,"Mercruiser","İmpeller & Soğutma","Mercruiser Bravo / Inboard Pirinç Deniz Suyu Pompası İmpeller Kiti","Mercruiser Bravo 1/2/3, 4.3L, 5.0L, 5.7L, 6.2L, 8.2L (Gövde İçi Pompa)","Sierra 18-3150, Jabsco 17937-0001, CEF 500378, Johnson 09-1028B","150-200 Saat / Sezon Başı","D-Şaftlı / Spline 8 Kanatlı Ağır Hizmet İmpeller"
35-877761Q01,"Mercury Marine","Yakıt Filtrasyonu","Mercury Optimax / Verado Yüksek Basınç Yakıt Filtresi Kartuşu","Mercury 75-300 HP Optimax DFI, Verado 135-300 HP","Sierra 18-7977, Mallory 9-37965, Racor PFF5510","100 Saat / Sezon Başı","10 Mikron Su Ayırıcı Kartuş Eleman"
16510-61A31,"Suzuki Marine","Yağlama & Filtre","Suzuki DF70A - DF140A 4-Zamanlı Dıştan Takma Yağ Filtresi","Suzuki DF70A, DF80A, DF90A, DF100A, DF115A, DF140A","Sierra 18-7897, Mann W 68/3, Baldwin B1436, Donaldson P502015","100 Saat veya Sezon Başı","Spin-on Kompakt Yağ Filtresi (3/4-16 Diş)"
16510-96J00,"Suzuki Marine","Yağlama & Filtre","Suzuki DF150 - DF300 V6 4-Zamanlı Motor Yağ Filtresi","Suzuki DF150, DF175, DF200, DF225, DF250, DF300, DF350A","Sierra 18-7911-1, Mann W 67/1, Baldwin B1400, Fram PH6017A","100 Saat veya 1 Yıl","M20x1.5 Dişli Yüksek Basınç Yağ Kartuşu"
15410-87L00,"Suzuki Marine","Yakıt Filtrasyonu","Suzuki DF70A - DF300 Motor İçi Alçak Basınç Yakıt Filtresi","Suzuki DF70A..DF140A, DF150..DF300AP","Sierra 18-79912, Mallory 9-37980, Hifi SN 25091","100 Saat / Sezonluk","Kırmızı Şamandıralı Su ve Partikül Filtresi Elemanı"
17400-96J04,"Suzuki Marine","İmpeller & Soğutma","Suzuki DF150 / DF175 / DF200 Su Pompası Tamir & İmpeller Kiti","Suzuki DF150, DF175, DF200 4-Silindir (2006+)","Sierra 18-3257, CEF 500371, Solas SZ-P150","100-150 Saat veya Sezon Başı","6 Bıçaklı Neopren İmpeller, Krom Plaka, Conta ve Kovan Dahil"
17400-93J02,"Suzuki Marine","İmpeller & Soğutma","Suzuki DF200 / DF225 / DF250 / DF300 V6 Su Pompası Kiti","Suzuki DF200, DF225, DF250, DF300 V6 Dıştan Takma","Sierra 18-3258, CEF 500372, Solas SZ-P300","100-150 Saat veya Sezon Başı","Ağır Hizmet 6 Kanatlı İmpeller, Pompa Tası ve Plaka Seti"
55321-87J01,"Suzuki Marine","Tutya & Korozyon","Suzuki DF40 - DF300 Dahili Motor Bloğu Çinko Anot","Suzuki DF40..DF350A Tüm Modeller","Tecnoseal 01201, Martyr CM5532187J01, Sierra 18-6095","100 Saat / %50 Eridiğinde Değiştirilir","Silindir Kapağı ve Termostat Yuvası Çinko Anodu, O-Ringli"
2010PM-OR,"Evrensel / Marin","Filtreler","Parker Racor 500FG / 500MA 30 Mikron Yakıt Filtre Elemanı (Kahverengi)","Racor 500FG, 500MA, 75500MAX Çiftli Filtre Sistemleri (Volvo Penta, Yanmar, Jeneratör)","Racor 2010PM, Baldwin PF598-30, Donaldson P552010, Wix 33210","200 Saat / Sezon Başı","30 Mikron Aquabloc Kağıt Eleman, O-ring ve Kapak Contası Dahil"
2010TM-OR,"Evrensel / Marin","Filtreler","Parker Racor 500FG / 500MA 10 Mikron Yakıt Filtre Elemanı (Mavi)","Racor 500FG, 500MA Serisi (Common Rail Motorlar İçin Orta Kademe)","Racor 2010TM, Baldwin PF598-10, Donaldson P552011","200 Saat / Sezon Başı","10 Mikron Aquabloc Su Ayırıcı Eleman"
2010SM-OR,"Evrensel / Marin","Filtreler","Parker Racor 500FG / 500MA 2 Mikron Yakıt Filtre Elemanı (Kırmızı)","Racor 500FG, 500MA Hassas Common Rail Enjeksiyon Koruması","Racor 2010SM, Baldwin PF598, Donaldson P552012","150-200 Saat / Sezon Başı","2 Mikron Ultra İnce Aquabloc Filtrasyon Elemanı"
2020PM-OR,"Evrensel / Marin","Filtreler","Parker Racor 1000FH / 1000MA 30 Mikron Yakıt Filtre Elemanı","Racor 1000FH, 1000MA, 751000MAX Çiftli Sistemler (MAN V12, CAT C32, MTU)","Racor 2020PM, Baldwin PF7890-30, Donaldson P552020, Wix 33202","200-400 Saat / Sezon Başı","30 Mikron Dev Boy Aquabloc Eleman (681 L/Saat Debi Kapasitesi)"
2020TM-OR,"Evrensel / Marin","Filtreler","Parker Racor 1000FH / 1000MA 10 Mikron Yakıt Filtre Elemanı","Racor 1000FH, 1000MA (Büyük Motoryatlar ve Ticari Tekneler)","Racor 2020TM, Baldwin PF7890-10, Donaldson P552021","200-400 Saat / Sezon Başı","10 Mikron Aquabloc Su Ayırıcı Eleman"
2020SM-OR,"Evrensel / Marin","Filtreler","Parker Racor 1000FH / 1000MA 2 Mikron Yakıt Filtre Elemanı","Racor 1000FH Yüksek Basınçlı CR Motorlar İçin","Racor 2020SM, Baldwin PF7890, Donaldson P552022","200 Saat / Sezonluk","2 Mikron Son Kademe CR Filtrasyon Elemanı"
2040PM-OR,"Evrensel / Marin","Filtreler","Parker Racor 900FH / 900MA 30 Mikron Yakıt Filtre Elemanı","Racor 900FH, 900MA, 75900MAX Çiftli Filtre Sistemleri (Volvo D9/D13, MAN i6/V8)","Racor 2040PM, Baldwin PF7889-30, Donaldson P552040, Wix 33799","200-400 Saat / Sezon Başı","30 Mikron Yüksek Debi Aquabloc Eleman (341 L/Saat)"
2040TM-OR,"Evrensel / Marin","Filtreler","Parker Racor 900FH / 900MA 10 Mikron Yakıt Filtre Elemanı","Racor 900FH, 900MA, 75900MAX Çiftli Sistemler","Racor 2040TM, Baldwin PF7889-10, Donaldson P552041","200-400 Saat / Sezon Başı","10 Mikron Aquabloc Su Ayırıcı Eleman"
R12T,"Evrensel / Marin","Filtreler","Parker Racor 120A Vidalı Spin-on Su Ayırıcı Yakıt Filtresi (10 Mikron)","Dıştan Takma Motorlar (Yamaha, Mercury) ve Marin Jeneratörler (Kohler, Onan)","Sierra 18-7944, Baldwin BF7798-D, Wix 33225","100-150 Saat / Sezon Başı","Şeffaf Kase Uyumlu Spin-on Filtre Kartuşu, 57 L/Saat Debi"
R20P,"Parker Racor","Yakıt Filtrasyonu","Racor 230R / 245R Vidalı 30 Mikron Yakıt Separatör Kartuşu","Racor 230R, 245R Serisi Marin Dizel ve Benzinli Gruplar","Baldwin BF7797-D, Donaldson P550400, Fleetguard FS19732, Sierra 18-7944","200 Saat","30 Mikron Vidalı Marin Separatör Kartuşu"
00530,"Evrensel / Marin","Filtreler","Separ SWK-2000/5 30 Mikron Yakıt Filtre Elemanı","Separ 2000/5 Kompakt Marin Jeneratör ve Yelkenli Sistemleri","Separ 00530, Baldwin PF7891","150-200 Saat / Sezon Başı","300 L/Saat Debi Kapasiteli Kompakt Separ Elemanı"
